ID,SymbolValue,XCoord,YCoord,
coh3-16-1962,Canyon of Hero Marker,40.7102013,-74.0098038,
coh4-5-1962,Canyon of Hero Marker,40.7103004,-74.009697,
coh4-12-1962,Canyon of Hero Marker,40.7103004,-74.009697,
coh4-16-1962,Canyon of Hero Marker,40.7103996,-74.0095978,
coh6-14-1962,Canyon of Hero Marker,40.7104988,-74.0094986,
coh5-22-1963,Canyon of Hero Marker,40.7106018,-74.0093994,
coh9-10-1963,Canyon of Hero Marker,40.710701,-74.0093994,
coh7-16-1964,Canyon of Hero Marker,40.710701,-74.0093002,
coh10-8-1964,Canyon of Hero Marker,40.7108002,-74.0093002,
coh5-19-1965,Canyon of Hero Marker,40.7108994,-74.009201,
